发震时间(utc+8),经度,纬度,震级(M),震源深度(Km),震中位置,死亡人数,直接经济损（万元）
1970-02-24 00:12:00,103.28,30.65,6.2,15,四川大邑西,0,0
1970-02-07 00:12:00,101.033,23.083,6.2,15,云南普洱西南,0,0
1970-01-05 00:12:00,102.683,24.2,7.8,13,云南通海,15621,30000
1969-12-17 00:12:00,110.6,18.5,5.1,33,海南万宁南,0,0
1969-09-14 00:12:00,74.8,39.7,5.5,43,新疆乌恰西,0,0
1969-07-26 00:12:00,111.8,22.32,6.4,5,广东阳江,33,4176
1969-07-18 00:12:00,119.4,38.2,7.4,35,渤海,10,5000
1969-02-12 00:12:00,79.3,41.5,6.3,10,新疆乌什东北,2,0
1968-04-01 00:12:00,117.6,25.1,5.2,--,福建华安,0,0
1967-12-18 00:12:00,111.22,36.47,5.4,30,山西蒲县,9,0
1967-12-03 00:12:00,115.22,37.72,5.7,25,河北束鹿南,0,30.6
1967-08-30 00:12:00,100.3,31.6,6.8,10,四川炉霍西北,39,0
1967-07-28 00:12:00,115.55,40.55,5.4,10,河北怀来东北,0,0
1967-03-27 00:12:00,116.5,38.5,6.3,--,河北河间、大城间,9,0
1967-01-24 00:12:00,104.1,30.2,5.5,4,四川仁寿附近,10,0
1966-10-11 00:12:00,103.8,27.9,5.2,--,云南永善南,0,0
1966-10-02 00:12:00,125.12,43.83,5.2,10,吉林怀德东北,0,0
1966-09-28 00:12:00,100.1,27.5,6.4,--,云南中甸,32,0
1966-09-23 00:12:00,104.5,26.2,5,--,云南宣威东,0,0
1966-09-19 00:12:00,97.7,24,5.4,--,云南瑞丽,0,0
1966-09-18 00:12:00,102.3,22.6,5.6,--,云南江城东,0,0
1966-04-20 00:12:00,114.87,37.25,5.3,14,河北隆尧南,0,0
1966-03-29 00:12:00,115.03,37.35,6,25,河北束鹿北,0,0
1966-03-26 00:12:00,115.26,37.68,6.2,15,河北束鹿南,0,0
1966-03-22 00:12:00,115.1,37.5,7.2,9,河北邢台宁晋东南,8064,100000
1966-03-20 00:12:00,114.97,37.27,5.6,--,河北巨鹿西北,0,0
1966-03-08 00:12:00,114.9,37.3,6.8,8,河北隆尧东,0,0
1966-03-06 00:12:00,115.03,37.47,5.2,--,河北宁晋南,0,0
1966-03-06 00:12:00,80.5,31.5,6.6,50,西藏扎达东,0,0
1966-02-13 00:12:00,103.1,26.1,6.2,--,云南东川,0,0
1966-02-05 00:12:00,103.1,26.1,6.5,4,云南东川,200,0
1966-01-31 00:12:00,99.7,27.9,5.1,--,云南中甸,0,0
1965-11-26 00:12:00,100.2,31.3,5.1,--,四川新龙北,0,4
1965-11-13 00:12:00,87.8,43.9,6.6,60,新疆乌鲁木齐东,7,2500
1965-07-03 00:12:00,101.6,22.4,6.1,--,云南景洪东北,0,0
1965-05-24 00:12:00,102.5,24,5.2,--,云南峨山,0,40.7
1965-01-13 00:12:00,111.63,35,5.5,10,山西垣曲,11,275.4
